"Artikel";"Variante";"Leiste";"Größe";"Qualität";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Großhandelspreis";"EAN"
"GGG Little Trampa";"Olive";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001210154"
"Sommertramper";"green";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001302309"
"Madame Wunder";"schwarz uni";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000690797"
"Kommod Flex";"schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000041957"
"Königsadler";"flachs neu";"F";"39";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"64,50 €";"2000001180365"
"Wirbelwind";"Olive";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001198841"
"GN Winterschuh";"flachs neu";"0";"20";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000000907130"
"GGG Wüdling";"blau";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"50,00 €";"2000001210475"
"GGG Art S1";"türkis";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"60,00 €";"2000001457115"
"G10 Wingu 35-40";"flachs neu";"1";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000904832"
"Phönix";"jaques dunkelbraun";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631578"
"Rückenwind";"timber";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001194911"
"W4tler Eisbär";"flachs neu";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000896564"
"Lerche";"schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"3";"Paar";"225,00 €";"2000000390550"
"Madame Wunder 21";"Schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"196,00 €";"2000001206553"
"GGG Little Trampa";"Olive";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001210185"
"Kommod Flex";"schwarz";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000042190"
"G10 Chui";"kimber";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001241707"
"G10 Chui";"kimber";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001241684"
"Sommertramper";"agave";"F";"43";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"79,50 €";"2000001120286"
"Jaga Flex";"flachs neu";"F";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895482"
"GN Kletter";"weiche Sohle flachs new";"0";"27";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001320723"
"Sommertramper";"schoko";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001068847"
"Kommod Classic";"Schwarz";"H";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000207254"
"GN Kletter";"weiche Sohle treetop";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001358818"
"Jaga Flex";"flachs neu";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895598"
"Phönix";"flachs neu";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000894904"
"Herr Neuner";"mocha";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001457535"
"GGG Art S1";"flachs neu";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000990347"
"Ansa";"schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001356173"
"GN Sandale";"weiche Sohle rose";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000805412"
"Rückenwind";"jaques schwarz";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964577"
"Sommertramper";"green";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001302354"
"Phönix";"schwarz";"H";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000648019"
"G10 Chui";"rose";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000797670"
"Wirbelwind Vegan";"Grau";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000999227"
"Polarstern ";"jaques schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001015162"
"Flexwind";"flachs neu";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001269398"
"Rückenwind";"denim";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"160,00 €";"2000001075531"
"GN Kletter";"shadow";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001158470"
"Ansa";"kiwi";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001276426"
"Madame Wunder 21";"Schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001206577"
"Ansa";"jaques dunkelbraun";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178218"
"Phönix";"jaques dunkelbraun";"H";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000632353"
"Wirbelwind";"Olive";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001198834"
"Wilderer";"jaques dunkelbraun";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000547398"
"ViaVia";"schwarz";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308318"
"Sommertramper";"split";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001141953"
"Ansa";"timber";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"97,50 €";"2000001195369"
"G10 Twiga";"rose";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000798608"
"Eiswind";"crazy blue";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000001358641"
"GGG Art 9";"flachs neu";"1";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000906751"
"GGG Wüdling";"nougat";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"50,00 €";"2000001299586"
"VIA Andante";"shadow";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001214473"
"GGG Speedy";"schlehe";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,00 €";"2000001210017"
"GN Schnürer";"weiche Sohle türkis";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001457429"
"GN Schnürer";"Varianten GN Schnürer";"0";"20";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001206089"
"Tramper Flex";"schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000095592"
"GN Sandale";"weiche Sohle flachs new";"0";"20";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001345566"
"Eight days a week Damen";"light rose";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001240793"
"W4tler Eisbär";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000896458"
"Lerche";"schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000390499"
"GGG Art S1";"flachs neu";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000990316"
"G10 Twiga";"rose";"1";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000000798721"
"Tramper Flex";"schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000095653"
"Phönix";"jaques dunkelbraun";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631516"
"Rückenwind";"flachs neu";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964423"
"Rückenwind";"Olive";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001301890"
"GGG Pony";"shadow";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001210352"
"Ansa";"josta";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"97,50 €";"2000001240632"
"GN Kletter";"weiche Sohle rose";"0";"27";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001110485"
"Ansa";"blattgrün";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001269565"
"Ansa";"kiwi";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001276440"
"Wind";"soft black";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000184999"
"ViaVia";"schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308257"
"Rückenwind";"timber";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001194942"
"Rückenwind";"Olive";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001301920"
"Black Panther";"kohle";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001029190"
"G10 Twiga";"flachs neu";"1";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000000901336"
"Rosa Lux";"nougat";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001105955"
"Wirbelwind";"Weiß";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001461785"
"warmer Wind";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"121,00 €";"2000000914671"
"W4tler Eisbär";"jaques dunkelbraun";"H";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000475219"
"Phönix mit Vario-Fußbett";"schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000034096"
"Lucy in the Sky Herren";"timber";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001304723"
"GGG Pony";"rose";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001210451"
"Phönix";"flachs neu";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000894881"
"GGG Little Trampa";"berry";"1";"32";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"29,50 €";"2000001354995"
"Pillango 20";"schlehe";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001205662"
"G10 Chui";"kimber";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001241677"
"Ansa";"jaques schwarz";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148655"
"Wind";"soft black";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000184937"
"Ansa";"josta";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"97,50 €";"2000001240694"
"Kommod Flex";"kiwi";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001241387"
"Kommod Flex";"mohn";"F";"39";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"69,50 €";"2000001123461"
"GN Kletter";"weiche Sohle schlehe";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001355527"
"W4tler Eisbär";"jaques dunkelbraun";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"206,00 €";"2000000474373"
"Ansa";"pull up braun";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001454480"
"GN Schnürer";"weiche Sohle froschgrün";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001206225"
"G10 Wingu 35-40";"violett";"1";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001299302"
"Alles Klar";"schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001213612"
"G10 Chui";"orange";"1";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001456316"
"Eight days a week Damen";"timber";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001174944"
"Kommod Flex";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000044651"
"Frau Sommer";"Curry";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001456088"
"Ansa";"jaques schwarz";"G";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148570"
"Kommod Flex";"flachs neu";"F";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000895086"
"Ansa";"jaques schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148525"
"Rückenwind";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964355"
"Jaga Flex";"jaques schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000166575"
"Papallona";"tric. rose";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000820651"
"G10 Twiga";"flachs neu";"1";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000000901329"
"ViaVia";"schlehe";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001197943"
"Phönix";"jaques dunkelbraun";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631691"
"Ansa";"jaques schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148617"
"G10 Chui";"orange";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001456279"
"Jaga Flex";"flachs neu";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"224,00 €";"2000000895550"
"GN Kletter";"weiche Sohle schlehe";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001355534"
"warmer Wind";"flachs neu";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"121,00 €";"2000000914619"
"ViaVia";"schwarz";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308332"
"GN Winterschuh";"flachs neu";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000000907154"
"GN Winterstiefel";"violett";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001299937"
"Ansa";"schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001356128"
"GN Schnürer";"flachs neu";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000907079"
"GN Winterstiefel";"violett";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001299951"
"Rückenwind";"denim";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001075517"
"W4tler Eisbär";"schwarz, Fell grau";"G";"46";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000502571"
"Kommod Flex";"jaques dunkelbraun";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000045139"
"Stiefel Filzi";"timber";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001213377"
"VIA Andante";"schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001176399"
"Phönix";"braun";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000001301791"
"VIA Andante";"shadow";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001214404"
"Sommertramper";"flachs neu";"F";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000000896298"
"GN Winterschuh";"froschgrün/stone";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000001210765"
"Stiefel Filzi";"timber";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000001213353"
"Phönix";"schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000647111"
"Rückenwind";"jaques schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964621"
"GGG Art S1";"flachs neu";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000990262"
"Air Danubius";"crazy blue";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001454152"
"GN Winterstiefel";"blau";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000623054"
"G10 Chui";"froschgrün";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001277911"
"Tramper Flex";"denim";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"196,00 €";"2000001218150"
"Bronco";"Schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000001298787"
"Rückenwind";"nougat";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001302033"
"ViaVia";"weinrot";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001197707"
"Tramper Flex";"denim";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001218037"
"Ronny";"oliv";"1";"35";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001278833"
"G10 Nie mehr kalt";"shadow/kimber";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001209707"
"W4tler Eisbär";"jaques dunkelbraun";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000474434"
"Falter";"bronce";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001154694"
"Rückenwind";"flachs neu";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000964300"
"G10 Twiga";"smoke";"1";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"106,00 €";"2000001456620"
"Air Danubia";"schlehe";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001204320"
"G10 Twinni";"kimber";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001196496"
"Madame Wunder 21";"Schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001206560"
"G10 Nie mehr kalt";"blattgrün/stone";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000001209776"
"W4tler Eisbär";"jaques dunkelbraun";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000474311"
"G10 Nie mehr kalt";"blattgrün/stone";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001209790"
"Kommod Flex";"mohn";"F";"40";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"69,50 €";"2000001123508"
"Wirbelwind";"nougat";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001304389"
"GN Kletter";"Varianten GN Kletter";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001210666"
"GN Sandale";"weiche Sohle kimber";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001141731"
"Frau Wohle";"Schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001193242"
"Rosa Lux";"flachs neu";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000912035"
"Ansa";"jaques dunkelbraun";"H";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178164"
"G10 Wingu 35-40";"aubergin";"1";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001209547"
"Jaga Flex";"jaques dunkelbraun";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163697"
"Air Danubia";"schlehe";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001204375"
"Rina";"rosso";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001330524"
"GN Sandale";"weiche Sohle türkis";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001457375"
"Tramper Flex";"barrel";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001357507"
"Kommod Flex";"flachs neu";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000909738"
"Rückenwind";"Weiß";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460108"
"G10 Twiga";"flachs neu";"1";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"53,00 €";"2000000901282"
"Ansa";"jaques dunkelbraun";"H";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001178010"
"GN Winterstiefel";"shadow/timber";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001210864"
"GGG Art 10";"jaques dunkelbraun";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000000610276"
"Sommersperber";"flachs neu";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000992402"
"Lerche";"schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000000390314"
"ViaVia";"schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308363"
"GN Sandale";"weiche Sohle rose";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000805382"
"Falter";"schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001341667"
"W4tler Eisbär";"classic blue";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000001266823"
"Rückenwind";"timber";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001194836"
"Wind";"soft black";"F";"37";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"99,50 €";"2000000184678"
"Rückenwind";"orange chili";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460382"
"W4tler Eisbär";"jaques dunkelbraun";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"206,00 €";"2000000474250"
