"Artikel";"Variante";"Leiste";"Größe";"Qualität";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Großhandelspreis";"EAN"
"Alles Klar";"weinrot";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001213797"
"Wirbelwind";"Olive";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000001198827"
"GN Winterschuh";"violett";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000001299869"
"Wirbelwind";"flachs neu";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"170,00 €";"2000000964089"
"GN Sandale";"weiche Sohle kimber";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001141762"
"Black Panther";"kohle";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001029237"
"ViaVia";"weinrot";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001197783"
"Sommertramper";"schoko";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"94,00 €";"2000001068878"
"W4tler Eisbär";"jaques dunkelbraun";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"206,00 €";"2000000473710"
"Klox";"mocca";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001300510"
"Phönix";"timber";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"178,00 €";"2000001156889"
"Kommod Flex";"flachs neu";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000901596"
"Frau Wohle";"Schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000001193259"
"Romy";"timber";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001202593"
